Altium Designer Pick and Place Locations
D:\Khaled\Hardware\Projects\Actuator Controller ESP32 W5500\24V 20CH ESP32 Actuator Controller\24V 20CH ESP32 Actuator Controller Board\Project Outputs for 24V 20CH ESP32 Actuator Controller\Generates pick and place files\Pick Place for Controller A20.txt

========================================================================================================================
File Design Information:

Date:       29-11-25
Time:       13:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                   Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                 
D627       XL-2012UGC                TopLayer    0805_G_LED                   1562.953      1334.646      270      "Green 525nm LED Indication - Discrete 2.9V 0805 (2012 Metric)"                                                                                                                                                                                             
D626       XL-2012UGC                TopLayer    0805_G_LED                   1960.591      1334.646      270      "Green 525nm LED Indication - Discrete 2.9V 0805 (2012 Metric)"                                                                                                                                                                                             
D625       XL-2012UGC                TopLayer    0805_G_LED                   2641.732      1334.646      270      "Green 525nm LED Indication - Discrete 2.9V 0805 (2012 Metric)"                                                                                                                                                                                             
D624       XL-2012UGC                TopLayer    0805_G_LED                   3043.307      1334.646      270      "Green 525nm LED Indication - Discrete 2.9V 0805 (2012 Metric)"                                                                                                                                                                                             
D623       XL-2012UGC                TopLayer    0805_G_LED                   3444.882      1334.646      270      "Green 525nm LED Indication - Discrete 2.9V 0805 (2012 Metric)"                                                                                                                                                                                             
D622       XL-2012UGC                TopLayer    0805_G_LED                   3846.457      1334.646      270      "Green 525nm LED Indication - Discrete 2.9V 0805 (2012 Metric)"                                                                                                                                                                                             
D621       XL-2012UGC                TopLayer    0805_G_LED                   4244.095      1334.646      270      "Green 525nm LED Indication - Discrete 2.9V 0805 (2012 Metric)"                                                                                                                                                                                             
D620       SK510A-LTP                TopLayer    DO-214AC(SMA)                4225.197      3425.197      180      "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D619       SK510A-LTP                TopLayer    DO-214AC(SMA)                3825.197      3425.197      180      "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D618       SK510A-LTP                TopLayer    DO-214AC(SMA)                3425.197      3425.197      180      "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D617       SK510A-LTP                TopLayer    DO-214AC(SMA)                3025.197      3425.197      180      "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D616       SK510A-LTP                TopLayer    DO-214AC(SMA)                2625.197      3425.197      180      "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D615       SK510A-LTP                TopLayer    DO-214AC(SMA)                1945.669      3425.197      180      "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D614       SK510A-LTP                TopLayer    DO-214AC(SMA)                1545.669      3425.197      180      "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D613       SK510A-LTP                TopLayer    DO-214AC(SMA)                1145.669      3425.197      180      "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D612       SK510A-LTP                TopLayer    DO-214AC(SMA)                745.669       3425.197      180      "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D611       SK510A-LTP                TopLayer    DO-214AC(SMA)                345.670       3425.197      180      "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D610       SK510A-LTP                TopLayer    DO-214AC(SMA)                341.732       511.811       0        "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D609       SK510A-LTP                TopLayer    DO-214AC(SMA)                741.732       511.811       0        "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D608       SK510A-LTP                TopLayer    DO-214AC(SMA)                1141.732      511.811       0        "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D607       SK510A-LTP                TopLayer    DO-214AC(SMA)                1541.732      511.811       0        "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D606       SK510A-LTP                TopLayer    DO-214AC(SMA)                1941.732      511.811       0        "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D605       SK510A-LTP                TopLayer    DO-214AC(SMA)                2625.197      511.811       0        "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D604       SK510A-LTP                TopLayer    DO-214AC(SMA)                3025.197      511.811       0        "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D603       SK510A-LTP                TopLayer    DO-214AC(SMA)                3425.197      511.811       0        "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D602       SK510A-LTP                TopLayer    DO-214AC(SMA)                3825.197      511.811       0        "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D601       SK510A-LTP                TopLayer    DO-214AC(SMA)                4225.197      511.811       0        "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D201       SK510A-LTP                TopLayer    DO-214AC(SMA)                6614.173      3830.709      180      "Diode 100 V 5A Surface Mount DO-214AC (SMA)"                                                                                                                                                                                                               
D101       SMAZ15-13-F               TopLayer    DO-214AC(SMA)                5035.433      1299.213      270      "Zener Diode 15 V 1 W ±5% Surface Mount SMA"                                                                                                                                                                                                                
D102       SMAJ30A                   TopLayer    DO-214AC(SMA)                5354.331      877.952       0        "48.4V Clamp 8.3A Ipp Tvs Diode Surface Mount DO-214AC"                                                                                                                                                                                                     
C405       100n                      TopLayer    C0603                        472.441       1968.504      90       "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C404       100n                      TopLayer    C0603                        1259.842      1968.504      90       "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C403       100n                      TopLayer    C0603                        2204.724      1968.504      90       "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C402       100n                      TopLayer    C0603                        3129.921      1968.504      90       "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C401       100n                      TopLayer    C0603                        3976.378      1968.504      90       "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C317       22n                       BottomLayer C0402                        6993.110      851.378       180      "0.022 µF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                                                                                                                                                                
C316       100n                      TopLayer    C0603                        7385.827      2086.929      180      "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C315       1n                        BottomLayer C1206                        7098.425      381.890       90       "2kV 1nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                                                                                                                                                                   
C314       10n                       TopLayer    C0402                        7368.110      1952.756      180      "10000 pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                                                                                                                                                                
C313       4u7                       TopLayer    C0805                        7543.307      1793.307      90       "4.7 µF ±20% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"                                                                                                                                                                                                  
C311       6n8                       TopLayer    C0402                        7153.543      1129.921      270      "6800 pF ±10% 100V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                                                                                                                                                                
C310       6n8                       TopLayer    C0402                        7092.362      1129.921      270      "6800 pF ±10% 100V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                                                                                                                                                                
C309       100n                      TopLayer    C0603                        7165.354      2133.858      180      "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C308       100n                      TopLayer    C0603                        7164.370      1531.496      90       "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C307       100n                      TopLayer    C0603                        7385.826      1704.725      180      "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C306       100n                      TopLayer    C0603                        7385.826      1783.465      180      "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C305       100n                      TopLayer    C0603                        7013.691      1531.672      90       "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C304       100n                      TopLayer    C0603                        7094.488      1531.496      90       "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C303       100n                      TopLayer    C0603                        7385.827      1881.890      180      "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C301       100n                      TopLayer    C0603                        7620.079      2062.992      180      "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C204       4u7                       TopLayer    C0805                        6129.921      3677.165      270      "4.7 µF ±20% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"                                                                                                                                                                                                  
C203       4u7                       TopLayer    C0805                        6129.921      3472.441      270      "4.7 µF ±20% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"                                                                                                                                                                                                  
C202       100n                      TopLayer    C0603                        7362.205      3169.291      180      "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C201       4u7                       TopLayer    C0805                        7372.047      3255.905      180      "4.7 µF ±20% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"                                                                                                                                                                                                  
C110       100n                      TopLayer    C0603                        5433.071      3330.709      0        "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C109       22u                       TopLayer    C0805                        5425.197      3409.449      0        "22 µF ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"                                                                                                                                                                                                   
C108       22u                       TopLayer    C0805                        5425.197      3500.000      0        "22 µF ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"                                                                                                                                                                                                   
C107       100n                      TopLayer    C0603                        5090.551      3437.008      90       "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C106       4u7                       TopLayer    C0805                        5011.811      3425.197      90       "4.7 µF ±20% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"                                                                                                                                                                                                  
C105       100n                      TopLayer    C0603                        5275.591      3251.969      0        "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C104       100n                      TopLayer    C0603                        5984.252      3704.724      270      "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C103       22u                       TopLayer    C0805                        5905.512      3716.535      270      "22 µF ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"                                                                                                                                                                                                   
C102       100n                      TopLayer    C0603                        5712.598      3582.677      180      "0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                                                                                                                                                  
C101       22u                       TopLayer    C0805                        5724.410      3500.000      180      "22 µF ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"                                                                                                                                                                                                   
